Date,Price,Total Volume,Market Cap
2022-06-04 05:30:00,1776.979907458187,15012416794.069233,214879733566.94196
2022-06-05 05:30:00,1804.2616695112486,8295912402.90654,217832477905.49496
2022-06-06 05:30:00,1805.3313949894373,8385254999.857006,218561175507.6209
2022-06-07 05:30:00,1860.1813068416047,16623006597.793545,225224111085.68793
2022-06-08 05:30:00,1818.3877119829308,23647547692.445885,220727955347.00992
2022-06-09 05:30:00,1794.539625671828,17712874976.607395,217320792647.69748
2022-06-10 05:30:00,1788.4182866616045,10469080004.414614,216720355679.05618
2022-06-11 05:30:00,1663.844367412088,17639990086.322327,201384347491.6296
2022-06-12 05:30:00,1530.0386174317211,20409428647.9328,185302828001.8518
2022-06-13 05:30:00,1454.6867601728409,22843765038.754616,176649606143.59042
2022-06-14 05:30:00,1205.5952855404787,47571733027.00858,146072737222.6309
2022-06-15 05:30:00,1214.8662649132034,32772246927.059067,146866764082.71503
2022-06-16 05:30:00,1230.3643353556051,39679810344.68712,148791271623.67947
2022-06-17 05:30:00,1068.6035748646073,18016510161.232018,129200159744.2964
2022-06-18 05:30:00,1087.8139244584365,14067259810.778109,132057112459.09528
2022-06-19 05:30:00,995.2525692707909,21112670623.39463,120148911164.20312
2022-06-20 05:30:00,1125.7540917942745,21676867429.837547,136214925416.2125
2022-06-21 05:30:00,1132.0543935828048,19817753726.316406,136360308696.36774
2022-06-22 05:30:00,1124.5613920165545,14838197887.543182,136466936749.80061
2022-06-23 05:30:00,1051.0740681589236,14331217471.338781,127762640725.99548
2022-06-24 05:30:00,1144.4807534808065,14247953151.150192,138845063633.00702
2022-06-25 05:30:00,1229.3040854466553,16288488163.424995,150370804175.61023
2022-06-26 05:30:00,1244.2862044953927,11692717741.724768,150822450290.39703
2022-06-27 05:30:00,1201.237790641909,11375746747.404722,145727702946.91232
2022-06-28 05:30:00,1194.2245084746116,12044359298.246725,144903396178.83267
2022-06-29 05:30:00,1143.5335357209958,13181896477.373173,138578887988.78128
2022-06-30 05:30:00,1098.9055176105344,14755440934.326208,133275228451.34706
2022-07-01 05:30:00,1057.6309990608017,15402670572.44401,125647331913.1351
2022-07-02 05:30:00,1068.8194401301964,17420131787.73736,128274306967.60861
2022-07-03 05:30:00,1068.5415025999594,9601263305.049065,127772810160.63632
2022-07-04 05:30:00,1074.6073175787587,7939419238.560307,128552380046.80464
2022-07-05 05:30:00,1153.3483147880897,13827342516.34925,137709680960.0187
2022-07-06 05:30:00,1134.017069659217,15393490017.737787,135655130079.77824
2022-07-07 05:30:00,1188.72564292538,14422132961.962864,142216914175.49112
2022-07-08 05:30:00,1240.3784056617153,13170522513.182203,148622605231.4957
2022-07-09 05:30:00,1233.5146792602989,15346600702.3086,148022842649.44733
2022-07-10 05:30:00,1216.8497068484603,7870254817.813988,145667751203.8659
2022-07-11 05:30:00,1169.012707661018,10374466605.406368,139844141994.57858
2022-07-12 05:30:00,1097.4494380477286,11693162178.034164,131363492852.48433
2022-07-13 05:30:00,1040.7971455029597,11555798332.527388,124831295049.54146
2022-07-14 05:30:00,1112.9207827012565,17936886119.90067,132986401488.71631
2022-07-15 05:30:00,1191.1308371103116,16474223860.658737,142767764050.56015
2022-07-16 05:30:00,1234.0991389763224,16817194904.2499,147677565536.3019
2022-07-17 05:30:00,1355.04564021949,19025831554.91271,161839496479.48514
2022-07-18 05:30:00,1344.7202840019017,15797648344.457474,161551223982.244
2022-07-19 05:30:00,1570.6589588642053,26437290054.27533,187518878564.43118
2022-07-20 05:30:00,1542.6298214332235,27749085857.707005,184299116474.0005
2022-07-21 05:30:00,1527.4139307593093,21728126383.56131,183383314168.63928
2022-07-22 05:30:00,1576.8252394976823,19411405082.967407,188807814065.77225
2022-07-23 05:30:00,1536.124922238913,18084368731.242767,183933879174.97644
2022-07-24 05:30:00,1552.4964891908746,14901008279.154797,185766674503.14
2022-07-25 05:30:00,1601.2079670127046,16058331978.02615,192833875418.8718
2022-07-26 05:30:00,1450.4822852139405,19852493229.276333,176371406952.78534
2022-07-27 05:30:00,1438.9880382230651,17711985937.250435,172489862867.98703
2022-07-28 05:30:00,1636.9491814677851,22792557484.269226,195761014376.11777
2022-07-29 05:30:00,1723.5485206790597,27508245872.984703,206347207632.4567
2022-07-30 05:30:00,1739.0421771356112,21792598232.364918,210767555013.8352
2022-07-31 05:30:00,1696.7850982136515,14236780342.012003,203433082401.51196
2022-08-01 05:30:00,1682.011373614746,12894604186.287697,201684547325.2247
2022-08-02 05:30:00,1636.0185563573557,15515408282.681604,195962280445.4563
2022-08-03 05:30:00,1638.3786826572205,19414686138.72405,197496591505.0525
2022-08-04 05:30:00,1621.3413236364065,15548536682.141968,194280005714.29996
2022-08-05 05:30:00,1612.4189067269824,14074560038.427649,192923352504.82288
2022-08-06 05:30:00,1725.3826270211505,17717475728.243652,206550599256.62897
2022-08-07 05:30:00,1693.2965918360276,11231103244.36643,203417937064.14215
2022-08-08 05:30:00,1699.0064178886953,9464715954.716835,203847481552.73074
2022-08-09 05:30:00,1775.7013555270828,15566998953.351175,213209087779.66412
2022-08-10 05:30:00,1698.9661290126492,24284375402.607098,204260348576.8655
2022-08-11 05:30:00,1852.8785552656473,21699442049.07331,222103417229.72577
2022-08-12 05:30:00,1881.4274054352998,21837068069.82725,225973452853.74725
2022-08-13 05:30:00,1959.3309247187408,15849264839.752771,235254593664.57745
2022-08-14 05:30:00,1982.4118280514233,14816745160.91679,237972056306.98938
2022-08-15 05:30:00,1936.7011636052605,12172210305.158232,232593263080.43414
2022-08-16 05:30:00,1908.2776419059185,18310871317.455875,229440415801.9887
2022-08-17 05:30:00,1880.6001012594395,14240230761.887741,225581585656.9299
2022-08-18 05:30:00,1834.8264526426372,18427553152.35174,220665870251.26813
2022-08-19 05:30:00,1850.1112910473696,13363780756.798216,222652366350.8803
2022-08-20 05:30:00,1618.5325042633535,22687362580.095345,194817731984.87317
2022-08-21 05:30:00,1579.4157230953704,16404512934.336613,189621068133.33334
2022-08-22 05:30:00,1624.149982884847,14174702673.113022,195324471844.68927
2022-08-23 05:30:00,1622.30703457785,16648637311.974203,193708156170.03223
2022-08-24 05:30:00,1665.7919073919315,17182337491.18613,199889229686.9934
2022-08-25 05:30:00,1657.7936424663385,15322907185.334568,199117634174.20898
2022-08-26 05:30:00,1697.0769719636442,12905826689.355816,204240810436.6186
2022-08-27 05:30:00,1510.1891114840514,23170035981.438354,181238520850.37888
2022-08-28 05:30:00,1496.0554659420902,15440053448.984152,179887478326.98642
2022-08-29 05:30:00,1438.7470503278116,10575504871.684057,173645963258.54285
2022-08-30 05:30:00,1555.1774560415913,16528644851.715965,187437853967.29883
2022-08-31 05:30:00,1525.400116232047,19704720195.3797,184447549243.54855
2022-09-01 05:30:00,1552.5629662281337,18596055350.613735,186670000430.8127
2022-09-02 05:30:00,1588.9803510869067,15076286516.891344,191078487039.94174
2022-09-03 05:30:00,1575.1766307276075,15857654357.09863,189678877652.6803
2022-09-04 05:30:00,1555.6740772078124,8500114333.500416,187266246294.68723
